km,klass,surface,highway,tracktype,smoothness,dist_m
531.7614611433698,kruus,gravel,unclassified,NA,NA,0
531.9765343139275,kruus,gravel,unclassified,NA,NA,0
532.2557349323888,kruus,gravel,unclassified,NA,NA,0
532.5318392096787,kruus,gravel,unclassified,NA,NA,0
532.7437251679551,kruus,gravel,unclassified,NA,NA,0
533.0077882634713,kruus (eeldus),NA,track,NA,NA,0
533.2569484253848,teadmata,NA,service,NA,NA,0
533.5231384829269,kruus,gravel,unclassified,NA,NA,0
533.7452190013083,kruus,gravel,unclassified,NA,NA,0
534.0107146660152,kruus,gravel,unclassified,NA,NA,0
534.2588730452466,kruus,gravel,unclassified,NA,NA,1
534.5131113843561,kruus,gravel,unclassified,NA,NA,0
534.7242045617453,asfalt (eeldus),NA,unclassified,NA,NA,0
535.0105115508712,asfalt (eeldus),NA,unclassified,NA,NA,0
535.224789197728,asfalt (eeldus),NA,unclassified,NA,NA,0
535.5089174532072,asfalt (eeldus),NA,unclassified,NA,NA,0
535.7626105985979,asfalt,asphalt,tertiary,NA,NA,0
535.9864249030645,asfalt,asphalt,tertiary,NA,NA,0
536.2442010247678,asfalt,asphalt,tertiary,NA,NA,0
536.5114743289962,asfalt,asphalt,tertiary,NA,NA,0
536.744293218265,asfalt,asphalt,tertiary,NA,NA,0
537.0438194746729,asfalt,asphalt,tertiary,NA,NA,0
537.2834671110927,asfalt,asphalt,tertiary,NA,NA,0
537.4720706821034,asfalt,asphalt,tertiary,NA,NA,0
537.7541616825234,asfalt,asphalt,tertiary,NA,NA,1
538.0016107295617,asfalt,asphalt,tertiary,NA,NA,0
538.2812023669801,asfalt,asphalt,tertiary,NA,NA,0
538.4786769508313,asfalt,asphalt,tertiary,NA,NA,0
538.7743648600054,asfalt,asphalt,tertiary,NA,NA,0
538.9818427574119,asfalt,asphalt,tertiary,NA,NA,1
539.2436576148647,asfalt,asphalt,tertiary,NA,NA,0
539.4833218478157,asfalt,asphalt,tertiary,NA,NA,0
539.7968611097853,asfalt,asphalt,tertiary,NA,NA,1
539.9957937372467,asfalt,asphalt,tertiary,NA,NA,0
540.2941141920128,kruus (eeldus),NA,track,NA,NA,0
540.462713779037,asfalt,asphalt,tertiary,NA,NA,0
540.7463594424859,asfalt,asphalt,tertiary,NA,NA,0
541.0250430270611,asfalt,asphalt,tertiary,NA,NA,0
541.2467403747148,kruus (eeldus),NA,track,grade3,NA,0
541.531517403315,kruus (eeldus),NA,track,grade3,NA,0
541.7495104275325,kruus (eeldus),NA,track,grade3,NA,0
542.0204004218484,kruus (eeldus),NA,track,grade3,NA,0
542.2548458647404,kruus (eeldus),NA,track,grade3,NA,0
542.4879833453259,kruus (eeldus),NA,track,grade3,NA,0
542.7601448293979,kruus,gravel,tertiary,NA,NA,0
543.0050405788971,kruus,gravel,tertiary,NA,NA,0
543.2623838284405,kruus,gravel,tertiary,NA,NA,0
543.5177556986694,kruus,gravel,tertiary,NA,NA,0
543.7691112768189,asfalt (eeldus),NA,unclassified,NA,NA,0
544.0134622664216,asfalt (eeldus),NA,unclassified,NA,NA,0
544.2488067946219,asfalt (eeldus),NA,unclassified,NA,NA,0
544.5123555037795,asfalt (eeldus),NA,unclassified,NA,NA,0
544.7468058150864,asfalt (eeldus),NA,unclassified,NA,NA,0
545.0060105027447,asfalt (eeldus),NA,unclassified,NA,NA,0
545.2430747074421,asfalt (eeldus),NA,unclassified,NA,NA,0
545.4849261555897,asfalt (eeldus),NA,unclassified,NA,NA,0
545.7523431304073,asfalt (eeldus),NA,unclassified,NA,NA,0
545.9966119575545,asfalt (eeldus),NA,unclassified,NA,NA,0
546.2604509402312,asfalt (eeldus),NA,unclassified,NA,NA,0
546.5329419468069,asfalt (eeldus),NA,unclassified,NA,NA,0
546.7493990160301,asfalt (eeldus),NA,unclassified,NA,NA,0
546.9590259557352,asfalt (eeldus),NA,unclassified,NA,NA,0
547.2473298912086,asfalt (eeldus),NA,unclassified,NA,NA,0
547.535630493695,asfalt (eeldus),NA,unclassified,NA,NA,0
547.709380977712,asfalt (eeldus),NA,unclassified,NA,NA,0
547.9946778604474,asfalt (eeldus),NA,unclassified,NA,NA,0
548.2526307156546,asfalt (eeldus),NA,unclassified,NA,NA,0
548.5111437344243,asfalt (eeldus),NA,unclassified,NA,NA,0
548.7292517589792,asfalt (eeldus),NA,unclassified,NA,NA,0
548.9973442003767,asfalt (eeldus),NA,unclassified,NA,NA,0
549.2716756429497,asfalt (eeldus),NA,unclassified,NA,NA,0
549.4982425078971,asfalt (eeldus),NA,unclassified,NA,NA,0
549.71853557074,asfalt (eeldus),NA,unclassified,NA,NA,0
550.0111163654309,asfalt (eeldus),NA,unclassified,NA,NA,0
550.258382151833,asfalt (eeldus),NA,unclassified,NA,NA,0
550.4869130187432,asfalt (eeldus),NA,unclassified,NA,NA,0
550.7534621164024,asfalt (eeldus),NA,unclassified,NA,NA,0
551.0025006998173,asfalt (eeldus),NA,unclassified,NA,NA,0
551.2558499825104,asfalt (eeldus),NA,unclassified,NA,NA,0
551.4795218051619,asfalt (eeldus),NA,unclassified,NA,NA,0
551.7449870615721,asfalt (eeldus),NA,unclassified,NA,NA,0
551.9707960633608,asfalt (eeldus),NA,unclassified,NA,NA,0
552.2699337544232,asfalt (eeldus),NA,unclassified,NA,NA,0
552.5131740217976,asfalt (eeldus),NA,unclassified,NA,NA,0
552.7222833649349,asfalt (eeldus),NA,residential,NA,NA,0
553.0209043896269,asfalt (eeldus),NA,residential,NA,NA,0
553.2141994335946,asfalt (eeldus),NA,unclassified,NA,NA,0
553.4584743461022,asfalt (eeldus),NA,unclassified,NA,NA,0
553.7430334818907,asfalt (eeldus),NA,unclassified,NA,NA,0
553.9913760509112,asfalt (eeldus),NA,unclassified,NA,NA,0
554.2948809971848,asfalt (eeldus),NA,unclassified,NA,NA,0
554.5066940272537,asfalt (eeldus),NA,unclassified,NA,NA,0
554.7738493937927,asfalt (eeldus),NA,unclassified,NA,NA,1
555.0159017999414,asfalt (eeldus),NA,unclassified,NA,NA,0
555.2619430286944,asfalt (eeldus),NA,unclassified,NA,NA,0
555.5079766307181,asfalt (eeldus),NA,unclassified,NA,NA,0
555.7478454967928,asfalt (eeldus),NA,unclassified,NA,NA,0
556.0302194760206,asfalt (eeldus),NA,unclassified,NA,NA,0
556.2179301407298,asfalt (eeldus),NA,unclassified,NA,NA,0
556.4973033172996,asfalt,asphalt,tertiary,NA,NA,0
556.7181118063027,asfalt,asphalt,tertiary,NA,NA,0
557.0034052126548,asfalt,asphalt,tertiary,NA,NA,1
557.2835054086942,asfalt,asphalt,tertiary,NA,NA,0
557.4795600317677,asfalt,asphalt,tertiary,NA,NA,0
557.7713157632306,asfalt,asphalt,tertiary,NA,NA,0
557.9661043215089,asfalt,asphalt,tertiary,NA,NA,0
558.2671892187055,kruus,unpaved,unclassified,grade1,NA,0
558.4604144630417,kruus,unpaved,unclassified,grade1,NA,1
558.7162235792694,kruus,unpaved,unclassified,grade1,NA,1
558.9597029471049,kruus,unpaved,unclassified,grade1,NA,0
559.2797371092752,kruus,unpaved,unclassified,grade1,NA,0
559.4869653224408,kruus,unpaved,unclassified,grade1,NA,0
559.7473972674479,kruus,unpaved,unclassified,grade1,NA,0
560.014110398262,kruus,unpaved,unclassified,grade1,NA,0
560.256901708438,kruus,unpaved,unclassified,grade1,NA,0
560.4819244152627,kruus,unpaved,unclassified,grade1,NA,0
560.7358225640963,kruus,unpaved,unclassified,grade1,NA,1
560.9918654831957,kruus,unpaved,unclassified,grade1,NA,0
561.230095596916,kruus,unpaved,unclassified,grade1,NA,0
561.464763341904,kruus,unpaved,unclassified,grade1,NA,0
561.7878785843301,kruus,unpaved,unclassified,grade1,NA,0
561.9656365033019,kruus,unpaved,unclassified,grade1,NA,0
562.2319888953945,kruus,unpaved,unclassified,grade1,NA,0
562.5288449817052,kruus,unpaved,unclassified,grade1,NA,0
562.7628755476127,kruus,unpaved,unclassified,grade1,NA,0
562.9776608771133,kruus,unpaved,unclassified,grade1,NA,0
563.2097838435958,kruus,unpaved,unclassified,grade1,NA,0
563.4844309316906,kruus,unpaved,unclassified,grade1,NA,0
563.7619754040004,kruus,unpaved,unclassified,grade1,NA,0
563.9968566518041,kruus,unpaved,unclassified,grade1,NA,0
564.2438974869727,kruus,unpaved,unclassified,grade1,NA,0
564.4924387615711,kruus,unpaved,unclassified,grade1,NA,0
564.7252302496299,kruus,unpaved,unclassified,grade1,NA,0
564.9853147391591,asfalt,asphalt,tertiary,NA,NA,0
565.2660805642204,asfalt,asphalt,tertiary,NA,NA,0
565.4809169218231,asfalt,asphalt,tertiary,NA,NA,0
565.751094208557,asfalt,asphalt,tertiary,NA,NA,0
565.9791607185342,asfalt,asphalt,tertiary,NA,NA,0
566.2367394797085,kruus,compacted,tertiary,NA,NA,0
566.5063760572679,kruus,compacted,tertiary,NA,NA,0
566.7181675750559,kruus,compacted,tertiary,NA,NA,0
566.9937046459637,kruus,compacted,tertiary,NA,NA,0
567.2582295443758,kruus,compacted,tertiary,NA,NA,0
567.5244047400486,kruus,compacted,tertiary,NA,NA,0
567.7425603269327,kruus,compacted,tertiary,NA,NA,0
567.978376732212,kruus,compacted,tertiary,NA,NA,0
568.2203973393534,kruus,compacted,tertiary,NA,NA,0
568.5132576931154,kruus,compacted,tertiary,NA,NA,0
568.7558011561638,kruus,compacted,tertiary,NA,NA,0
569.0248106592702,kruus,compacted,tertiary,NA,NA,0
569.2320514554657,asfalt (eeldus),NA,unclassified,NA,NA,0
569.4711554370381,kruus,compacted,tertiary,NA,NA,0
569.7486080759244,kruus,compacted,tertiary,NA,NA,0
570.0458604896335,kruus,compacted,tertiary,NA,NA,0
570.2447097601809,kruus,compacted,tertiary,NA,NA,0
570.5188376695398,kruus,compacted,tertiary,NA,NA,0
570.7696029394291,kruus,compacted,tertiary,NA,NA,0
571.0059645844951,kruus,compacted,tertiary,NA,NA,0
571.2280542497642,kruus,compacted,tertiary,NA,NA,0
571.501971508028,asfalt,asphalt,tertiary,NA,NA,0
571.7236328348245,asfalt,asphalt,tertiary,NA,NA,0
572.0404033331442,teadmata,NA,service,NA,NA,0
572.2639450286712,asfalt,asphalt,tertiary,NA,NA,0
572.481716299271,asfalt,asphalt,tertiary,NA,NA,0
572.7565061041694,asfalt,asphalt,tertiary,NA,NA,0
573.0289827209255,asfalt,asphalt,tertiary,NA,NA,0
573.2234402965438,asfalt,asphalt,tertiary,NA,NA,0
573.5029692450418,asfalt,asphalt,tertiary,NA,NA,0
573.7054294451037,asfalt,asphalt,tertiary,NA,NA,1
573.9883972943777,asfalt,asphalt,tertiary,NA,NA,0
574.2706850283215,asfalt,asphalt,tertiary,NA,NA,0
574.528540202373,asfalt,asphalt,tertiary,NA,NA,0
574.7356112503853,asfalt,asphalt,tertiary,NA,NA,0
