km,detour_m,kind,name,hours,lat,lon,osm
656.93,104,supermarket,Coop Liiva Konsum,Mo-Su 09:00-22:00,58.6058919,23.2312519,way/245791098
657.01,42,fast_food,Island Burger,NA,58.6067346,23.2330572,node/12215522523
673.65,30,restaurant,Muhu veinimaja,May-Sep,58.6492026,23.3025269,node/4292714991
684.23,249,supermarket,Coop Hellamaa kauplus,Mo-Fr 10:00-18:00; Sa-Su 10:00-16:00,58.6068581,23.310735,way/173818575
692.35,27,convenience,Kuivastu Kauplus ja Kohvik,NA,58.5728455,23.3903208,node/12219065096
692.57,47,convenience,NA,NA,58.5734248,23.3932078,node/860405349
699.38,38,cafe,Virtsu Sadama Kohvik,Mo-Su 09:00-19:00,58.5736315,23.5109718,node/5158764051
699.69,28,fuel,Jetoil Virtsu,24/7,58.5716149,23.5142155,way/672373960
699.72,64,supermarket,Coop Virtsu Konsum,Mo-Su 09:00-20:00,58.5724055,23.514917,way/213728229
699.8,15,fast_food,Toidutanker,Mo-Su 08:00-20:00,58.5717371,23.5162533,way/672373959
718.34,1043,convenience,Coop Tuudi kauplus,Mo-Fr 10:00-18:00; Sa 10:00-15:00,58.662403,23.731725,way/234761709
729.82,1046,restaurant,Trahter Birgit,Mo-Su 10:00-20:00,58.7000654,23.8313782,node/4250916698
730.85,159,drinking_water,NA,NA,58.7146695,23.8143491,node/13968372364
743.6,31,cafe,ZZ Shop,Th-Su 11:00-18:00,58.7260299,23.9533913,node/11127510873
756.9,49,convenience,Rõude kauplus,Mo-Sa 10:00-18:00,58.7713551,23.9238568,node/13968772542
769.7,65,convenience,Coop Martna kauplus,Mo-Fr 09:00-19:00,58.855298,23.801843,way/250166972
